Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,25.350000,25.469999,23.870001,24.719999,24.449747,19057900
2021-10-05,24.799999,24.900000,24.040001,24.090000,23.826635,13975300
2021-10-06,23.750000,24.320000,22.920000,24.299999,24.034338,20704900
2021-10-07,24.400000,24.690001,24.049999,24.400000,24.133247,7656300
2021-10-08,24.680000,26.170000,24.670000,25.650000,25.369579,16525200
2021-10-11,25.400000,25.490000,23.959999,24.100000,23.836525,12120300
2021-10-13,24.240000,25.070000,23.840000,24.740000,24.469530,16570700
2021-10-14,24.990000,25.139999,24.330000,24.780001,24.509092,9616800
2021-10-15,24.719999,26.030001,24.639999,25.950001,25.666302,25443600
2021-10-18,25.500000,25.740000,24.799999,25.500000,25.221220,12883800
2021-10-19,25.030001,25.059999,23.799999,24.139999,23.876087,14565600
2021-10-20,24.410000,25.120001,23.879999,24.790001,24.518984,12715600
2021-10-21,24.010000,24.389999,23.170000,23.230000,22.976038,29438600
2021-10-22,23.590000,23.590000,21.480000,22.930000,22.679317,36861700
2021-10-25,23.010000,23.820000,23.000000,23.360001,23.104616,17497000
2021-10-26,22.920000,23.160000,22.280001,22.480000,22.234236,13064600
2021-10-27,22.790001,23.459999,22.480000,22.799999,22.550737,8549000
2021-10-28,22.510000,23.360001,22.510000,22.730000,22.481504,9234500
2021-10-29,22.840000,23.230000,22.459999,22.650000,22.402378,12304500
2021-11-01,23.139999,23.900000,23.040001,23.590000,23.332102,13071500
2021-11-03,23.440001,24.330000,23.209999,23.820000,23.559587,12498700
2021-11-04,23.750000,23.959999,23.080000,23.389999,23.134289,8885700
2021-11-05,23.799999,24.629999,23.600000,24.440001,24.172810,8981500
2021-11-08,24.180000,24.250000,23.430000,23.820000,23.559587,5413000
2021-11-09,24.049999,24.780001,22.610001,22.690001,22.441942,18410400
2021-11-10,23.000000,24.150000,22.809999,23.750000,23.490351,13379000
2021-11-11,24.070000,24.770000,23.790001,23.840000,23.579369,10881300
2021-11-12,23.700001,24.340000,22.690001,22.780001,22.530956,11309000
2021-11-16,22.990000,23.180000,21.770000,21.870001,21.630907,11511700
2021-11-17,22.299999,22.350000,20.639999,20.870001,20.641840,20716900
2021-11-18,21.100000,21.680000,20.780001,20.879999,20.651728,9165800
2021-11-19,20.770000,21.680000,20.590000,20.920000,20.691290,10170600
2021-11-22,20.990000,21.030001,19.750000,19.920000,19.702223,10868100
2021-11-23,19.950001,20.270000,19.500000,20.100000,19.880257,15653600
2021-11-24,20.209999,20.850000,20.020000,20.600000,20.374790,11205300
2021-11-25,20.549999,22.040001,20.530001,21.840000,21.601234,9500400
2021-11-26,20.860001,21.180000,20.410000,20.820000,20.592384,8828400
2021-11-29,21.180000,21.700001,20.879999,21.540001,21.304514,8036000
2021-11-30,21.030001,21.610001,19.900000,20.660000,20.434134,16042700
2021-12-01,21.170000,22.090000,20.629999,20.760000,20.533041,11236000
2021-12-02,21.309999,21.639999,20.719999,20.889999,20.661619,10521000
2021-12-03,21.129999,22.480000,21.030001,21.100000,20.869324,8098900
2021-12-06,21.389999,21.600000,20.840000,21.280001,21.047356,6198000
2021-12-07,21.650000,21.840000,21.170000,21.219999,20.988012,9700600
2021-12-08,21.160000,21.790001,20.900000,21.709999,21.472654,10369500
2021-12-09,21.559999,22.010000,21.260000,21.370001,21.136374,11643000
2021-12-10,21.709999,22.950001,21.510000,22.670000,22.422159,16080900
2021-12-13,22.730000,23.590000,22.459999,22.830000,22.580410,11928900
2021-12-14,23.120001,23.120001,21.709999,21.830000,21.591343,13578400
2021-12-15,21.870001,22.459999,21.270000,22.440001,22.194674,8008900
2021-12-16,22.719999,23.230000,22.160000,22.250000,22.006752,8070300
2021-12-17,22.230000,22.850000,21.809999,22.660000,22.412270,8393600
2021-12-20,22.150000,22.280001,21.600000,21.690001,21.452875,7176400
2021-12-21,21.900000,21.990000,21.180000,21.410000,21.242327,4451700
2021-12-22,21.360001,21.850000,21.280001,21.780001,21.609428,5068600
2021-12-23,21.950001,22.000000,21.379999,21.459999,21.291933,3637300
2021-12-27,21.500000,21.879999,21.250000,21.480000,21.311777,2918600
2021-12-28,21.600000,21.629999,20.549999,20.719999,20.557730,5912000
2021-12-29,20.950001,20.990000,20.410000,20.730000,20.567652,4026400
2021-12-30,20.850000,21.049999,20.680000,20.969999,20.805771,4143500
2022-01-03,20.799999,21.379999,20.080000,20.120001,19.962429,8744700
2022-01-04,20.280001,20.350000,19.590000,19.660000,19.506031,12655000
2022-01-05,19.719999,20.049999,18.750000,18.809999,18.662687,24686600
2022-01-06,18.700001,18.820000,18.030001,18.459999,18.459999,13573900
2022-01-07,18.440001,18.889999,18.110001,18.600000,18.600000,14039400
2022-01-10,18.549999,18.709999,18.040001,18.559999,18.559999,9375900
2022-01-11,19.000000,19.559999,18.850000,19.450001,19.450001,10666400
2022-01-12,19.660000,20.139999,19.299999,19.559999,19.559999,11896100
2022-01-13,19.639999,19.879999,19.190001,19.299999,19.299999,5544700
2022-01-14,19.139999,20.080000,19.139999,19.610001,19.610001,8234700
2022-01-17,19.799999,20.040001,19.480000,19.760000,19.760000,4037000
2022-01-18,19.530001,19.600000,18.629999,18.950001,18.950001,11916400
2022-01-19,19.090000,19.940001,18.990000,19.940001,19.940001,8287000
2022-01-20,20.020000,21.680000,19.969999,21.610001,21.610001,21107700
2022-01-21,21.170000,21.840000,21.020000,21.299999,21.299999,8249200
2022-01-24,21.299999,21.629999,20.650000,21.610001,21.610001,13917800
2022-01-25,21.459999,22.860001,21.219999,22.520000,22.520000,13562200
2022-01-26,22.930000,24.200001,22.930000,23.150000,23.150000,25216500
2022-01-27,23.410000,24.480000,23.320000,24.120001,24.120001,19698900
2022-01-28,23.690001,24.040001,23.209999,23.320000,23.320000,10465300
2022-01-31,23.420000,24.110001,23.350000,24.040001,24.040001,22915000
2022-02-01,24.129999,24.590000,23.910000,24.250000,24.250000,10163400
2022-02-02,24.250000,24.809999,23.240000,23.389999,23.389999,10247400
2022-02-03,23.590000,23.950001,22.639999,23.080000,23.080000,11009300
2022-02-04,23.240000,23.260000,22.230000,22.870001,22.870001,6640400
2022-02-07,22.920000,23.059999,22.570000,22.660000,22.660000,3850800
2022-02-08,22.600000,22.670000,22.129999,22.580000,22.580000,7336200
2022-02-09,22.879999,23.930000,22.760000,23.440001,23.440001,14431500
2022-02-10,23.360001,23.570000,22.600000,23.320000,23.320000,12990900
2022-02-11,23.450001,23.959999,22.860001,23.020000,23.020000,11713400
2022-02-14,23.200001,23.850000,23.150000,23.350000,23.350000,7724200
2022-02-15,23.750000,24.950001,23.670000,24.850000,24.850000,11567400
2022-02-16,24.900000,25.780001,23.820000,25.260000,25.260000,22764200
2022-02-17,25.250000,25.900000,25.059999,25.070000,25.070000,10128000
